YEAR,MONTH,MDBF,OTP,TOTAL_TRIPS,TOTAL_LATES
2016,July,15219,90.0,47281,4745.0
2016,August,13764,90.8,52941,4871.0
2016,September,14537,90.1,47855,4744.0
2016,October,17032,90.9,49678,4545.0
2016,November,16219,90.0,47639,4768.0
2016,December,14500,88.5,49002,5631.0
2017,January,14841,92.9,49391,3496.0
2017,February,14130,92.4,45576,3486.0
2017,March,15530,91.0,50036,4501.0
2017,April,14147,91.2,45084,3967.0
2017,May,14435,89.5,50097,5255.0
2017,June,13585,88.2,45836,5400.0
2017,July,13265,90.9,49678,4520.0
2017,August,14085,91.4,56358,4838.0
2017,September,13075,90.2,45938,4485.0
2017,October,14823,89.8,51065,5202.0
2017,November,15722,90.5,47692,4553.0
2017,December,14264,86.2,44852,6206.0
2018,January,11268,90.8,48496,4445.0
2018,February,11444,93.2,45650,3084.0
2018,March,13035,92.2,45086,3525.0
2018,April,11996,91.4,48030,4117.0
2018,May,11872,89.7,47718,4898.0
2018,June,12584,89.1,37505,4083.0
2018,July,10866,88.9,37246,4131.0
2018,August,11376,90.6,48753,4589.0
2018,September,11806,90.7,40098,3737.0
2018,October,12008,91.1,53223,4729.0
2018,November,12184,90.5,36485,3480.0
2018,December,12885,89.6,40165,4186.0
2019,January,11792,93.5,42493,2744.0
2019,February,10946,93.6,39618,2531.0
2019,March,14012,92.7,41638,3050.0
2019,April,11171,93.3,46361,3105.0
2019,May,11602,90.4,44747,4294.0
2019,June,12152,91.3,42400,3709.0
2019,July,9434,93.0,50111,3531.0
2019,August,12885,93.7,51429,3246.0
2019,September,12485,92.5,46638,3478.0
2019,October,11075,92.5,51861,3889.0
2019,November,12239,92.1,46997,3717.0
2019,December,10995,89.4,48665,5175.0
2020,January,13342,94.4,48364,2709.0
2020,February,14917,95.3,43138,2029.0
2020,March,15078,95.9,43930,1811.0
2020,April,14036,98.8,24623,301.0
2020,May,14403,99.3,29816,195.0
2020,June,12967,98.1,42674,808.0
2020,July,10369,98.1,50624,982.0
2020,August,11171,97.8,46248,1013.0
2020,September,14173,97.6,42181,1004.0
2020,October,12059,98.3,43935,726.0
2020,November,12599,98.8,40394,487.0
2020,December,13796,98.3,43270,737.0
2021,January,15883,98.9,38082,413.0
2021,February,11312,98.0,35243,718.0
2021,March,11949,98.4,47276,741.0
2021,April,14568,97.3,44526,1216.0
2021,May,15410,97.2,42687,1183.0
2021,June,12871,95.9,45210,1857.0
2021,July,10744,95.9,45636,1885.0
2021,August,10845,96.1,48111,1881.0
2021,September,12427,94.5,46180,2553.0
2021,October,12977,92.3,600,46.04
2021,November,13598,93.7,43894,2784.0
2021,December,14598,93.2,45244,3064.0
2022,January,13154,95.5,43994,1974.0
2022,February,10709,96.6,41945,1443.0
2022,March,10677,96.3,50648,1875.0
2022,April,10489,95.4,46455,2153.0
2022,May,9484,95.3,49270,2311.0
2022,June,11492,94.1,49088,2912.0
2022,July,10053,95.7,46901,1996.0
2022,August,12064,95.1,52454,2573.0
2022,September,12254,93.7,47633,3021.0
2022,October,13039,94.1,47274,2802.0
2022,November,12629,94.6,46974,2529.0
2022,December,10912,91.1,48894,4332.0
2023,January,12056,95.4,49349,2257.0
2023,February,13628,95.4,45894,2116.0
2023,March,11245,95.2,53076,2527.0
2023,April,9668,93.4,48307,3190.0
2023,May,11394,91.4,52679,4547.0
2023,June,13298,92.1,51879,4093.0
2023,July,7468,92.8,48595,3480.0
2023,August,12504,93.3,55376,3735.0
2023,September,10424,90.5,50080,4758.0
2023,October,11181,91.3,52427,4541.0
2023,November,12124,89.5,48678,5115.0
2023,December,10875,87.7,48013,5906.0
2024,January,11858,93.5,53609,3501.0
2024,February,12922,94.0,49593,2999.0
2024,March,12774,93.2,49473,3357.0
2024,April,10736,92.0,51116,4092.0
2024,May,9996,90.8,52298,4798.0
2024,June,10109,89.7,48329,4984.0
2024,July,7880,91.8,54221,4448.0
2024,August,7692,91.7,53334,4416.0
