YEAR,MONTH,CANCEL_COUNT,TRIPS,LATES,ON_TIME_PERCENTAGE,MEAN_DISTANCE_BEFORE_FAILURE
2017,APRIL,40,14974,17188,87.1,87172
2017,AUGUST,70,17604,18866,93.3,81472
2017,DECEMBER,61,16458,18226,90.3,82929
2017,FEBRUARY,39,15596,16765,93.0,84826
2017,JANUARY,56,17036,18271,93.2,83609
2017,JULY,47,16635,17948,92.7,84069
2017,JUNE,55,15854,18186,87.2,84936
2017,MARCH,26,17204,18398,93.5,87026
2017,MAY,67,16096,18525,86.9,83826
2017,NOVEMBER,68,16801,18179,92.4,83720
2017,OCTOBER,34,16956,18630,91.0,83800
2017,SEPTEMBER,43,16182,17518,92.4,81337
2018,APRIL,50,16793,18120,92.7,76108
2018,AUGUST,66,17048,18963,89.9,74238
2018,DECEMBER,75,14826,16481,90.0,67997
2018,FEBRUARY,57,15949,16767,95.1,80309
2018,JANUARY,67,16259,18576,87.5,80711
2018,JULY,53,16577,18364,90.3,74107
2018,JUNE,63,16579,17920,92.5,74776
2018,MARCH,52,16182,18357,88.2,77686
2018,MAY,52,17288,18844,91.7,76487
2018,NOVEMBER,62,13608,16563,82.2,69908
2018,OCTOBER,70,15689,17775,88.3,70679
2018,SEPTEMBER,57,15221,16696,91.2,72424
2019,APRIL,37,15776,16822,93.8,70258
2019,AUGUST,41,16336,17747,92.0,75030
2019,DECEMBER,48,16040,17568,91.3,83301
2019,FEBRUARY,60,13556,15274,88.8,68717
2019,JANUARY,55,15085,16918,89.2,69249
2019,JULY,91,15537,17801,87.3,72788
2019,JUNE,42,15230,16923,90.0,72930
2019,MARCH,35,15717,16829,93.4,69344
2019,MAY,36,16453,17661,93.2,71342
2019,NOVEMBER,38,15118,16949,89.2,81181
2019,OCTOBER,48,16605,18227,91.1,79134
2019,SEPTEMBER,43,15556,16900,92.0,76712
2020,APRIL,13,11701,12226,95.7,91313
2020,AUGUST,74,14592,16297,89.5,90718
2020,DECEMBER,104,15538,16865,92.1,84451
2020,FEBRUARY,43,15170,16285,93.2,86792
2020,JANUARY,75,16426,17675,92.9,84741
2020,JULY,81,15714,17378,90.4,93809
2020,JUNE,14,11742,12153,96.6,94969
2020,MARCH,45,15063,15926,94.6,88881
2020,MAY,18,11835,12351,95.8,92406
2020,NOVEMBER,83,15138,16357,92.5,85702
2020,OCTOBER,64,16743,17504,95.7,87817
2020,SEPTEMBER,65,16162,16808,96.2,89016
2021,APRIL,92,16186,17076,94.8,81931
2021,AUGUST,99,16741,18036,92.8,80333
2021,DECEMBER,99,17366,18537,93.7,76713
2021,FEBRUARY,90,13088,14261,91.8,84529
2021,JANUARY,121,15558,16573,93.9,86531
2021,JULY,109,16497,17805,92.7,80232
2021,JUNE,112,16457,17557,93.7,78300
2021,MARCH,82,16639,17730,93.8,84772
2021,MAY,96,15863,16794,94.5,81101
2021,NOVEMBER,105,15559,17363,89.6,75824
2021,OCTOBER,106,16231,17598,92.2,76783
2021,SEPTEMBER,87,14747,16554,89.1,79307
2022,APRIL,73,16811,17734,94.8,69751
2022,AUGUST,144,17326,18928,91.5,65832
2022,DECEMBER,103,16911,18316,92.3,66090
2022,FEBRUARY,105,15372,16512,93.1,72516
2022,JANUARY,126,16655,17908,93.0,73523
2022,JULY,143,16760,18101,92.6,67808
2022,JUNE,106,16764,18129,92.5,69949
2022,MARCH,76,17066,18334,93.1,71219
2022,MAY,80,16865,18178,92.8,68454
2022,NOVEMBER,64,16051,17630,91.0,66636
2022,OCTOBER,120,16588,18112,91.6,65389
2022,SEPTEMBER,111,16504,17881,92.3,66170
2023,APRIL,57,16201,17408,93.1,70994
2023,AUGUST,102,17252,18983,90.9,73920
2023,DECEMBER,109,16238,17921,90.6,69102
2023,FEBRUARY,67,15310,16544,92.5,69991
2023,JANUARY,74,17158,18053,95.0,67726
2023,JULY,126,16164,18171,89.0,71148
2023,JUNE,76,16387,18130,90.4,70712
2023,MARCH,89,17183,18753,91.6,69800
2023,MAY,72,16802,18464,91.0,71685
2023,NOVEMBER,149,16196,17696,91.5,70708
2023,OCTOBER,118,16754,18583,90.2,73504
2023,SEPTEMBER,113,15686,17687,88.7,71966
2024,APRIL,121,16501,18202,90.7,59813
2024,AUGUST,143,16273,18691,87.1,49833
2024,FEBRUARY,106,15971,17313,92.2,62852
2024,JANUARY,121,16452,18404,89.4,66050
2024,JULY,177,16486,18772,87.8,53024
2024,JUNE,142,14666,17626,83.2,55317
2024,MARCH,100,17070,18346,93.0,60634
2024,MAY,102,16616,18564,89.5,58571
