YEAR,MONTH,MDBF
2016,July,15219
2016,August,13764
2016,September,14537
2016,October,17032
2016,November,16219
2016,December,14500
2017,January,14841
2017,February,14130
2017,March,15530
2017,April,14147
2017,May,14435
2017,June,13585
2017,July,13265
2017,August,14085
2017,September,13075
2017,October,14823
2017,November,15722
2017,December,14264
2018,January,11268
2018,February,11444
2018,March,13035
2018,April,11996
2018,May,11872
2018,June,12584
2018,July,10866
2018,August,11376
2018,September,11806
2018,October,12008
2018,November,12184
2018,December,12885
2019,January,11792
2019,February,10946
2019,March,14012
2019,April,11171
2019,May,11602
2019,June,12152
2019,July,9434
2019,August,12885
2019,September,12485
2019,October,11075
2019,November,12239
2019,December,10995
2020,January,13342
2020,February,14917
2020,March,15078
2020,April,14036
2020,May,14403
2020,June,12967
2020,July,10369
2020,August,11171
2020,September,14173
2020,October,12059
2020,November,12599
2020,December,13796
2021,January,15883
2021,February,11312
2021,March,11949
2021,April,14568
2021,May,15410
2021,June,12871
2021,July,10744
2021,August,10845
2021,September,12427
2021,October,12977
2021,November,13598
2021,December,14598
2022,January,13154
2022,February,10709
2022,March,10677
2022,April,10489
2022,May,9484
2022,June,11492
2022,July,10053
2022,August,12064
2022,September,12254
2022,October,13039
2022,November,12629
2022,December,10912
2023,January,12056
2023,February,13628
2023,March,11245
2023,April,9668
2023,May,11394
2023,June,13298
2023,July,7468
2023,August,12504
2023,September,10424
2023,October,11181
2023,November,12124
2023,December,10875
2024,January,11858
2024,February,12922
2024,March,12774
2024,April,10736
2024,May,9996
2024,June,10109
2024,July,7880
2024,August,7692
